TY,x U' R2 U' L' U R2 U' L U2 x',"x U' [R2, U' L' U] U x'"
TZ,D' R U R' D R U' R',"[D', R U R']"
,,
Z,Alg,C ABA'B' C'
ZA,U' R' D' R U R' D R,"[U', R' D' R]"
ZB,x' R' D2 R' U' R D2 R' U R2 x,"x' R2 [R D2 R', U'] R2 x"
ZC,U2 R2 U' L' U R2 U' L U',"U [U R2 U', L'] U'"
ZD,U2 R' D' R U2 R' D R,"[U2, R' D' R]"
ZE,x U R' D2 R U' R' D2 l,"x [U, R' D2 R] x'"
ZF,x' R U' R' D' R U R' D x,"x' [R U' R', D'] x"
ZG,U R' D' R U' R' D R,"[U, R' D' R]"
ZH,U R U L U' R' U L' U2,"U [R, U L U'] U'"
ZI,y R2 D2 R' U2 R D2 R' U2 R' y',"y R2 [D2, R' U2 R] R2 y'"
ZW,R2 D2 R' U' R D2 R' U R',"R2 [D2, R' U' R] R2"
ZM,l R U R' D2 R U' R' D2 l',"l [R U R', D2] l'"
ZN,R U R' D R U' R' D',"[R U R', D]"
ZO,x U R' D R U' R' D l,"x [U, R' D R] x'"
ZP,x' R U2 R' D' R U2 R' D x,"x' [R U2 R', D'] x"
ZQ,R U R' D2 R U' R' D2,"[R U R', D2]"
ZR,y R' D2 R' U2 R D2 R' U2 R2 y',"y R2 [R D2 R', U2] R2 y'"
ZS,y' U' L U R' U' L' U R y,"y' [U' L U, R'] y"
ZT,R U R' D' R U' R' D,"[R U R', D']"
