WZ,R U' R D2 R' U R D2 R2,"R2 [R' U' R, D2] R2"
,,
O,Alg,C ABA'B' C'
OA,D' R2 D L2 D' R2 D L2,"[D' R2 D, L2]"
OB,R U2 R D' R' U2 R D R2,"R2 [R' U2 R, D'] R2"
OC,y' R U' L2 U R' U' L2 U y,"y' [R, U' L2 U] y"
OD,R2 U' L2 U' R2 U L2 U' R2,"R2 U2 [U L2 U', R2] U2 R2"
OE,R U R D' R' U' R D R2,"R2 [R' U R, D'] R2"
OF,D' R2 D L' D' R2 D L,"[D' R2 D, L']"
OG,x' U2 R' D' R U2 R' D R x,"x' [U2, R' D' R] x"
OH,R' U L2 U' R U L2 U',"[R', U L2 U']"
OI,y' R' U2 R' D R U2 R' D' R2,"y' R2 [R U2 R', D] R2 y"
OW,x L D L' U2 L D' L' U2 x',"x [L D L', U2] x'"
OM,y R2 U' R' D2 R U R' D2 R' y',"y R [R U' R', D2] R' y'"
ON,D' R2 D L D' R2 D L',"D' [R2, D L D'] D"
OR,R2 U L2 U' R2 U L2 U',"[R2, U L2 U']"
OS,y D L2 D' R' D L2 D' R y',"y [D L2 D', R'] y'"
OT,L2 U L D2 L' U' L D2 L,"L' [L' U L, D2] L"
OX,D2 R2 U R2 U' R2 D2 R2 U R2 U' R2,"[D2, R2 U R2 U' R2]"
OY,R U L2 U' R' U L2 U',"[R, U L2 U']"
OZ,l' D R U R' D' R U' x',"l' [D, R U R'] l"
,,
R,Alg,C ABA'B' C'
RA,R2 D L2 D' R2 D L2 D',"[R2, D L2 D']"
RB,D R2 D' R' U2 R D R' U2 R D',"D R2 [D', R' U2 R] R2 D'"
RC,U L U' R2 U L' U' R2,"[U L U', R2]"
RD,x' U R'F'R2FR U2 R'F'R2FR U x,"x' U [R'F'R2FR, U2] U' x"
RE,x U' L U R2 U' L' U R2 x',"x [U' L U, R2] x'"
RF,R2 D L' D' R2 D L D',"[R2, D L' D']"
RG,U R2 D L2 D' R2 D L2 D' U'," U [R2, D L2 D'] U'"
RH,y' U R' U L2 U' R U L2 U2 y,"y' U2 [U' R U, L2] U2 y"
RI,F' R D R' U2 R D' R' U2 F,"F' [R D R', U2] F"
RW,z' U' R'F'R2FR U2 R'F'R2FR U' z,"z' U' [R'F'R2FR, U2] U z"
RM,x' R2 U' L U R2 U' L' U x,"x' [R2, U' L U] x"
RN,U L' U' R2 U L U' R2,"[U L' U', R2]"
RO,U L2 U' R2 U L2 U' R2,"[U L2 U', R2]"
RP,U R2 U' R' D2 R U R' D2 R' U',"U R [R U' R', D2] R' U'"
RQ,R2 D L D' R2 D L' D',"[R2, D L D']"
RX,D' R2 U R2 U' R2 D R2 U R2 U' R2,"[D', R2 U R2 U' R2]"
